sID,schoolname,level,eType,address,city,region,lati,longi
B000012131,한얼고등학교,고등학교,사립,부산광역시 남구 고동골로69번가길 54,부산광역시교육청,부산광역시남부교육지원청,35.14667056,129.071275
B000011619,홍성공업고등학교,고등학교,공립,충청남도 홍성군 결성면 구성남로 55,충청남도교육청,충청남도홍성교육지원청,36.53000995,126.5480875
B000006134,미륵초등학교,초등학교,공립,전북특별자치도 익산시 금마면 용순길 243,전북특별자치도교육청,전북특별자치도익산교육지원청,36.00183358,127.0223553
B000009466,오산중학교,중학교,사립,경기도 오산시 청학로 43,경기도교육청,경기도화성오산교육지원청,37.15420001,127.0615801
B000007174,상산초등학교,초등학교,공립,경상북도 상주시 왕산로 374,경상북도교육청,경상북도상주교육지원청,36.42261813,128.1607403
B000012730,파주고등학교,고등학교,사립,경기도 파주시 문산읍 독산로31번길 39,경기도교육청,경기도파주교육지원청,37.85975687,126.7813649
B000008761,영종중학교,중학교,공립,인천광역시 중구 남디로 92,인천광역시교육청,인천광역시남부교육지원청,37.48339679,126.5248152
B000003556,남산초등학교,초등학교,공립,울산광역시 남구 거마로 17,울산광역시교육청,울산광역시강남교육지원청,35.53670642,129.2953159
B000024255,장기초등학교,초등학교,공립,세종특별자치시  장군면 장척로 398-9,세종특별자치시교육청,세종특별자치시교육청,36.49635134,127.2066373
B000011870,강원과학고등학교,고등학교,공립,강원특별자치도 원주시 치악로 2242,강원특별자치도교육청,강원특별자치도원주교육지원청,37.3758538,127.9723281
B000013330,진주제일여자고등학교,고등학교,사립,경상남도 진주시 하대로34번길 11-9,경상남도교육청,경상남도진주교육지원청,35.19108138,128.1146021
B000003253,광주북초등학교,초등학교,공립,광주광역시 북구 하서로 985,광주광역시교육청,광주광역시동부교육지원청,35.24601745,126.9144178
B000003425,대전원앙초등학교,초등학교,공립,대전광역시 서구 관저북로 97,대전광역시교육청,대전광역시서부교육지원청,36.31109002,127.3362882
B000005273,경산초등학교,초등학교,공립,충청북도 청주시 흥덕구 경산로 82-12,충청북도교육청,충청북도청주교육지원청,36.62521458,127.4406428
B000008987,대전용운중학교,중학교,공립,대전광역시 동구 용운로 208,대전광역시교육청,대전광역시동부교육지원청,36.32579179,127.4646473
B000012178,신명고등학교,고등학교,사립,대구광역시 중구 국채보상로102길 48,대구광역시교육청,대구광역시동부교육지원청,35.86921572,128.5842516
B000006488,순천남초등학교,초등학교,공립,전라남도 순천시 서문로 7,전라남도교육청,전라남도순천교육지원청,34.95047098,127.4828426
B000011807,한영외국어고등학교,고등학교,사립,서울특별시 강동구 동남로 832,서울특별시교육청,서울특별시강동송파교육지원청,37.54813415,127.1572203
B000008974,성덕중학교,중학교,공립,광주광역시 광산구 장덕로 65,광주광역시교육청,광주광역시서부교육지원청,35.19552213,126.8163294
B000005582,공주봉황초등학교,초등학교,공립,충청남도 공주시 오거리길 5,충청남도교육청,충청남도공주교육지원청,36.44922446,127.1207384
B000005099,무릉초등학교,초등학교,공립,강원특별자치도 영월군 무릉도원면 중방안길 68,강원특별자치도교육청,강원특별자치도영월교육지원청,37.28983393,128.268218
B000004823,춘천초등학교,초등학교,공립,강원특별자치도 춘천시 방송길7번길 14-5,강원특별자치도교육청,강원특별자치도춘천교육지원청,37.87464343,127.721734
B000011920,배화여자고등학교,고등학교,사립,서울특별시 종로구 필운대로1길 34,서울특별시교육청,서울특별시중부교육지원청,37.57868257,126.9668658
B000007838,범어초등학교,초등학교,공립,경상남도 양산시 물금읍 동중6길 8,경상남도교육청,경상남도양산교육지원청,35.33133203,129.0057564
B000004106,포리초등학교,초등학교,공립,경기도 시흥시 신현로202번길 31,경기도교육청,경기도시흥교육지원청,37.40547711,126.7712027
